Gesture_record,Body_part,Contact_recipient,Lateral_use,Repetition,Recording_number
Push,Hand,Mouth,Unimanual,NA,R202850
Push,Hand,Extremity,Unimanual,NA,R203075
Present,Back,NA,NA,NA,R203076
Present,Back,NA,NA,NA,R203074
GrabHold,Hand,TorsoBack,Bimanual,NA,R203615
GrabHold,Hand,TorsoBack,Unimanual,NA,R203616
Present,Leg,NA,NA,NA,R202858
Present,Body,NA,NA,NA,R202853
Present,Back,NA,NA,NA,R202854
Touch,Hand,Extremity,NA,NA,R202859
Reach,Hand,NA,NA,NA,R202860
Present,Back,NA,NA,NA,R203736
HitObject,Hand,NA,Unimanual,Repeated,R202697
LocomoteStiffWalk,Body,NA,NA,NA,R202698
ObjectMove,Hand,NA,Unimanual,NA,R202700
ObjectStance,Body,NA,NA,NA,R202699
ObjectMove,Hand,NA,Unimanual,NA,R202503
StiffStance,Body,NA,NA,NA,R202505
Pull,Hand,Unclear,Unimanual,NA,R202504
Present,Bottom,NA,NA,NA,R202851
Present,BodyChest,NA,NA,NA,R202977
Bite,Mouth,Head,NA,NA,R202979
Bite,Mouth,Head,NA,NA,R202980
Push,Hand,Head,Unimanual,NA,R202978
Push,Hand,Unclear,Unimanual,NA,R202981
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202986
Present,Leg,NA,NA,NA,R202937
Touch,Hand,Extremity,NA,NA,R203469
Present,Back,NA,NA,NA,R202701
Pull,Hand,Head,Unimanual,NA,R202824
LocomoteStiffWalk,Body,NA,NA,NA,R203421
StiffStance,Body,NA,NA,NA,R203422
Embrace,Arm,TorsoBack,Bimanual,NA,R203069
Present,Leg,NA,NA,NA,R202582
BiteThreat,Mouth,NA,NA,NA,R202535
Touch,Hand,TorsoBack,NA,NA,R203491
Present,Body,NA,NA,NA,R201718
Grab,Hand,TorsoBack,Unimanual,NA,R202634
Present,Back,NA,NA,NA,R202857
Present,Leg,NA,NA,NA,R202852
Embrace,Arm,TorsoBack,Unimanual,NA,R202513
LeanIn,Body,TorsoFront,NA,NA,R203490
TouchLong,Foot,TorsoBack,NA,NA,R203070
Touch,Foot,TorsoBack,NA,NA,R203071
Touch,Knuckles,TorsoBack,NA,NA,R202501
Touch,Knuckles,TorsoBack,NA,NA,R202502
ObjectMove,Hand,NA,Unimanual,NA,R202528
TouchLong,Knuckles,TorsoBack,NA,NA,R202976
Stroke,Fingers,TorsoFront,Unimanual,NA,R202870
Stroke,Fingers,TorsoFront,Unimanual,NA,R202871
Pull,Hand,TorsoBack,Unimanual,NA,R202885
Pull,Hand,TorsoBack,Unimanual,NA,R202691
ObjectMove,Hand,NA,Bimanual,NA,R202656
StiffStance,Body,NA,NA,NA,R202657
Present,Body,NA,NA,NA,R203073
LocomoteStiffWalk,Body,NA,NA,NA,R203465
StiffStance,Body,NA,NA,NA,R203466
Raise,Hand,NA,NA,NA,R202685
Pull,Hand,TorsoBack,Unimanual,NA,R202686
Grab,Hand,TorsoBack,Unimanual,NA,R202880
Grab,Hand,TorsoBack,Unimanual,NA,R202881
Push,Hand,Head,Unimanual,NA,R202990
Push,Fingers,Head,Unimanual,NA,R202991
BiteThreat,Mouth,NA,NA,NA,R202822
Touch,Knuckles,Unclear,NA,NA,R202823
Reach,Hand,NA,NA,NA,R202540
Grab,Hand,Extremity,Unimanual,NA,R202541
ObjectMove,Hand,NA,Bimanual,NA,R202542
Push,Hand,Head,Unimanual,NA,R202627
LocomoteGallop,Body,NA,NA,NA,R202654
Push,Arm,TorsoBack,Unimanual,NA,R201797
GazeStance,Body,NA,NA,NA,R203668
ObjectMove,Hand,NA,Unimanual,NA,R203396
Pivot,Body,NA,NA,NA,R203397
LeanIn,BodyChest,Head,NA,NA,R203398
Reach,Hand,NA,NA,NA,R202818
Pull,Hand,TorsoBack,Unimanual,NA,R202819
Push,Hand,TorsoBack,Unimanual,NA,R202640
ChestBeat,Hand,NA,Bimanual,Repeated,R203467
Jab,Foot,TorsoBack,NA,NA,R203468
Embrace,Arm,TorsoBack,Unimanual,NA,R203140
BiteThreat,Mouth,NA,NA,NA,R202650
TouchLong,Knuckles,TorsoBack,NA,NA,R201816
GazeStance,Body,NA,NA,NA,R202998
GazeStance,Body,NA,NA,NA,R202999
Embrace,Arm,TorsoBack,Unimanual,NA,R203000
Present,Genitals,NA,NA,NA,R203001
Push,Hand,Extremity,Unimanual,NA,R202689
Push,Hand,Extremity,Unimanual,NA,R202690
LeanIn,Head,TorsoFront,NA,NA,R203060
Touch,Hand,TorsoBack,NA,NA,R203072
Touch,Hand,Extremity,NA,NA,R203458
LocomoteStiffWalk,Body,NA,NA,NA,R203459
TouchLong,Hand,TorsoBack,NA,NA,R203460
Embrace,Arm,TorsoBack,Unimanual,NA,R203461
Pull,Hand,TorsoBack,Unimanual,NA,R202886
Raise,Hand,NA,NA,NA,R202683
Reach,Hand,NA,NA,NA,R202684
Grab,Hand,Extremity,Unimanual,NA,R202877
Raise,Hand,NA,NA,NA,R202878
Stroke,Hand,TorsoBack,Unimanual,NA,R202879
HitRecipient,Arm,TorsoBack,Unimanual,Singular,R203602
Raise,Hand,NA,NA,NA,R201722
Reach,Hand,NA,NA,NA,R201723
Embrace,Arm,TorsoBack,Unimanual,NA,R202655
Pull,Hand,Extremity,Unimanual,NA,R202543
PlaceOnObject,Hand,NA,NA,NA,R201972
PlaceOnObject,Hand,NA,NA,NA,R202778
PlaceOnObject,Fist,NA,NA,NA,R202780
PlaceOnObject,Fist,NA,NA,NA,R202781
PlaceOnObject,Fist,NA,NA,NA,R202782
Raise,Hand,NA,NA,NA,R202783
PlaceOnObject,Hand,NA,NA,NA,R202784
Beckon,Arm,NA,NA,NA,R202785
Reach,Hand,NA,NA,NA,R202786
HitRecipient,Fingers,Extremity,Unimanual,Singular,R202788
HitTap,Fingers,Extremity,Unimanual,Singular,R202789
Reach,Hand,NA,NA,NA,R202790
HitFake,Hand,NA,Unimanual,Singular,R202791
HitTap,Fingers,Extremity,Unimanual,Singular,R202792
Beckon,Hand,NA,NA,NA,R202793
Beckon,Hand,NA,NA,NA,R202795
Raise,Hand,NA,NA,NA,R202796
Beckon,Arm,NA,NA,NA,R202797
Raise,Hand,NA,NA,NA,R202798
HitFake,Hand,NA,Unimanual,Singular,R202799
HitTap,Fingers,Extremity,Unimanual,Singular,R202800
HitTap,Fingers,Extremity,Unimanual,Singular,R202801
HitTap,Fingers,Extremity,Unimanual,Singular,R202802
Reach,Hand,NA,NA,NA,R202803
HitFake,Hand,NA,Unimanual,Singular,R202804
HitTap,Fingers,Extremity,Unimanual,Singular,R202805
HitTap,Hand,TorsoBack,Unimanual,Singular,R202806
HitTap,Fingers,TorsoBack,Unimanual,Singular,R202807
Touch,Fingers,TorsoBack,NA,NA,R202808
Touch,Hand,TorsoBack,NA,NA,R202809
HitTap,Fist,TorsoBack,Unimanual,Singular,R202810
Stroke,Hand,TorsoBack,Unimanual,NA,R202811
Pull,Hand,TorsoBack,Unimanual,NA,R202812
Pull,Hand,TorsoBack,Unimanual,NA,R202813
HitFake,Hand,NA,Unimanual,Singular,R202814
HitTap,Hand,TorsoBack,Unimanual,Singular,R202815
Push,Knuckles,Extremity,Unimanual,NA,R202816
BodyCross,Arm,NA,NA,NA,R202817
ObjectMove,Hand,NA,Unimanual,NA,R202779
Raise,Foot,NA,NA,NA,R202787
Pull,Hand,TorsoBack,Unimanual,NA,R202887
GazeStance,Body,NA,NA,NA,R203669
GazeStance,Body,NA,NA,NA,R203670
LeanIn,BodyChest,TorsoBack,NA,NA,R203059
Push,Arm,TorsoFront,Unimanual,NA,R202962
Push,Arm,TorsoBack,Unimanual,NA,R203002
Jab,Foot,TorsoBack,NA,NA,R203003
Present,Leg,NA,NA,NA,R202687
Present,Leg,NA,NA,NA,R202688
Embrace,Arm,TorsoBack,Unimanual,NA,R202595
Embrace,Arm,TorsoBack,Unimanual,NA,R203473
LeanIn,Head,TorsoFront,NA,NA,R203474
Present,Leg,NA,NA,NA,R203477
Bite,Mouth,TorsoBack,NA,NA,R201796
Present,Leg,NA,NA,NA,R203614
Dangle,Body,NA,NA,NA,R201978
HitSelf,Hand,NA,Unimanual,Repeated,R201983
Reach,Hand,NA,NA,NA,R202587
Embrace,Arm,Extremity,Unimanual,NA,R202598
Present,Back,NA,NA,NA,R202989
Touch,Knuckles,TorsoBack,NA,NA,R203739
Embrace,Arm,TorsoBack,Unimanual,NA,R203740
Grab,Hand,TorsoBack,Unimanual,NA,R203741
BiteSelf,Mouth,NA,NA,NA,R201729
HitSelf,Fist,NA,Unimanual,Repeated,R201726
HitSelf,Fist,NA,Unimanual,Repeated,R201727
HitSelf,Fist,NA,Unimanual,Repeated,R201728
Touch,Hand,TorsoBack,NA,NA,R201800
Embrace,Arm,TorsoBack,Unimanual,NA,R202633
HitRecipient,Hand,TorsoBack,Unimanual,Singular,R201746
Push,Hand,TorsoBack,Unimanual,NA,R201747
Grab,Hand,TorsoBack,Unimanual,NA,R202970
ObjectMove,Hand,NA,Unimanual,NA,R202971
Touch,Hand,TorsoBack,NA,NA,R201812
Grab,Hand,TorsoBack,Unimanual,NA,R201813
LocomoteRecipient,Body,NA,NA,NA,R202708
Present,Body,NA,NA,NA,R202849
Grab,Hand,Extremity,Bimanual,NA,R202530
Push,Knuckles,TorsoBack,Unimanual,NA,R202821
Pull,Hand,Extremity,Unimanual,NA,R201977
ObjectMove,Hand,NA,Unimanual,NA,R203478
BumpInto,Body,TorsoBack,NA,NA,R203479
HitRecipientSoft,Hand,TorsoBack,Bimanual,Repeated,R202594
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202539
TouchLong,Knuckles,TorsoBack,NA,NA,R201716
Grab,Hand,TorsoBack,Unimanual,NA,R202596
Embrace,Arm,TorsoBack,Unimanual,NA,R202597
Present,Bottom,NA,NA,NA,R202579
Bite,Mouth,Extremity,NA,NA,R203475
Bite,Mouth,Head,NA,NA,R203476
ObjectMove,Hand,NA,Unimanual,NA,R202586
BiteThreat,Mouth,NA,NA,NA,R202599
LocomoteRecipient,Body,NA,NA,NA,R201799
ObjectMouth,Mouth,NA,NA,NA,R202628
ChestBeat,Hand,NA,Bimanual,Repeated,R202641
LocomoteRecipient,Body,NA,NA,NA,R202642
Embrace,Arm,TorsoBack,Unimanual,NA,R201748
LocomoteStiffRun,Body,NA,NA,NA,R202967
LocomoteStiffRun,Body,NA,NA,NA,R202969
Jab,Leg,Extremity,NA,NA,R202968
Touch,Knuckles,Extremity,NA,NA,R201798
LocomoteStiffWalk,Body,NA,NA,NA,R202936
BiteThreat,Mouth,NA,NA,NA,R202705
Push,Arm,Head,Unimanual,NA,R202869
BiteThreat,Mouth,NA,NA,NA,R202706
BiteThreat,Mouth,NA,NA,NA,R202707
LeanIn,Body,TorsoFront,NA,NA,R202993
Kiss,Mouth,TorsoFront,NA,NA,R202994
Present,Genitals,NA,NA,NA,R203671
GrabHold,Hand,Extremity,Unimanual,NA,R202638
TouchLong,Hand,Extremity,NA,NA,R202639
Present,Bottom,NA,NA,NA,R202882
LocomoteStiffWalk,Body,NA,NA,NA,R203471
BumpInto,Body,TorsoBack,NA,NA,R203472
Embrace,Arm,TorsoBack,Unimanual,NA,R202973
Pull,Hand,TorsoBack,Unimanual,NA,R202833
HitObject,Hand,NA,Bimanual,Repeated,R202538
Reach,Hand,NA,NA,NA,R203481
Reach,Hand,NA,NA,NA,R202696
Pull,Hand,Extremity,Unimanual,NA,R201807
Grab,Hand,TorsoBack,Unimanual,NA,R203487
Push,Arm,Extremity,Unimanual,NA,R202820
GrabHold,Hand,TorsoFront,Unimanual,NA,R201815
TouchLong,Hand,TorsoBack,NA,NA,R202576
Present,Back,NA,NA,NA,R202825
Kiss,Mouth,Unclear,NA,NA,R202997
OverStance,Arm,NA,NA,NA,R202996
ObjectStance,Body,NA,NA,NA,R203568
GazeStance,Body,NA,NA,NA,R203569
Fling,Arm,NA,Unimanual,NA,R203488
HitRecipient,Foot,Extremity,Unimanual,Singular,R203489
Present,Back,NA,NA,NA,R201801
Dangle,Body,NA,NA,NA,R202536
HitSelf,Hand,NA,Unimanual,Repeated,R202537
Touch,Hand,TorsoBack,NA,NA,R203480
RakeObject,Fingers,NA,NA,NA,R202532
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202533
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202534
GrabHold,Hand,TorsoBack,Unimanual,NA,R201742
HitRecipient,Foot,TorsoBack,Unimanual,Singular,R203485
LocomoteStiffRun,Body,NA,NA,NA,R203486
Present,Back,NA,NA,NA,R201806
Present,Back,NA,NA,NA,R202835
LocomoteStiffWalk,Body,NA,NA,NA,R202567
StiffStance,Body,NA,NA,NA,R202568
HitObject,Hand,NA,Bimanual,Repeated,R202569
LeanIn,Head,TorsoFront,NA,NA,R202570
Touch,Hand,TorsoBack,NA,NA,R202571
Push,Hand,Extremity,Unimanual,NA,R201738
Push,Hand,Extremity,Unimanual,NA,R203457
Touch,Hand,Head,NA,NA,R202987
Grab,Hand,Extremity,Unimanual,NA,R202635
Grab,Hand,Extremity,Unimanual,NA,R202636
Grab,Hand,TorsoBack,Unimanual,NA,R202637
LocomoteRecipient,Body,NA,NA,NA,R203613
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202531
Push,Hand,TorsoBack,Unimanual,NA,R201743
LeanIn,Body,TorsoFront,NA,NA,R203063
GrabHold,Hand,TorsoBack,Unimanual,NA,R201732
GazeStance,Body,NA,NA,NA,R203434
GazeStance,Body,NA,NA,NA,R203435
GazeStance,Body,NA,NA,NA,R203436
GazeStance,Body,NA,NA,NA,R203437
Present,Leg,NA,NA,NA,R203482
TouchLong,Hand,TorsoBack,NA,NA,R201809
Present,Bottom,NA,NA,NA,R201445
ChestBeatInformal,Fist,NA,Bimanual,Repeated,R202992
Reach,Hand,NA,NA,NA,R203062
Touch,Fingers,Extremity,NA,NA,R201719
Present,Leg,NA,NA,NA,R200574
Present,Bottom,NA,NA,NA,R202983
ChestBeat,Hand,NA,Bimanual,Repeated,R203418
StiffStance,Body,NA,NA,NA,R203419
StiffStance,Body,NA,NA,NA,R203420
Grab,Hand,Extremity,Unimanual,NA,R202934
Grab,Hand,Extremity,Unimanual,NA,R202935
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202985
ObjectMove,Hand,NA,Bimanual,NA,R202498
ObjectMouth,Mouth,NA,NA,NA,R202499
Push,Hand,Head,Unimanual,NA,R202889
Pull,Hand,TorsoBack,Unimanual,NA,R202890
Push,Hand,Head,Unimanual,NA,R202891
BumpInto,Body,TorsoFront,NA,NA,R203612
Touch,Hand,Head,NA,NA,R202712
Bite,Mouth,Head,NA,NA,R202988
LocomoteStiffRun,Body,NA,NA,NA,R203603
ObjectMove,Hand,NA,Unimanual,NA,R203604
ObjectMove,Hand,NA,Unimanual,NA,R202549
StiffStance,Body,NA,NA,NA,R202550
Push,Hand,TorsoBack,Unimanual,NA,R202868
LocomoteStiffWalk,Body,NA,NA,NA,R203483
Jab,Foot,TorsoFront,NA,NA,R203484
Push,Hand,TorsoBack,Unimanual,NA,R202888
Push,Hand,Extremity,Unimanual,NA,R202933
ChestBeat,Hand,NA,Bimanual,Repeated,R202644
LocomoteRecipient,Body,NA,NA,NA,R202645
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202984
Touch,Hand,TorsoBack,NA,NA,R202876
Push,Hand,TorsoBack,Unimanual,NA,R202648
LocomoteRecipient,Body,NA,NA,NA,R201446
Present,Back,NA,NA,NA,R202709
LeanIn,Body,TorsoBack,NA,NA,R203077
Touch,Hand,TorsoBack,NA,NA,R203605
OverStance,Arm,NA,NA,NA,R203606
BumpInto,Body,TorsoBack,NA,NA,R203607
Kiss,Mouth,Head,NA,NA,R203608
Grab,Hand,Head,Unimanual,NA,R203609
Touch,Hand,TorsoBack,NA,NA,R203610
LocomoteRecipient,Body,NA,NA,NA,R202834
Present,Back,NA,NA,NA,R202856
Present,Body,NA,NA,NA,R202855
GazeStance,Body,NA,NA,NA,R203673
Pull,Hand,Extremity,Unimanual,NA,R201794
HitRecipientSoft,Hand,TorsoBack,Unimanual,Repeated,R201795
Push,Arm,Extremity,Unimanual,NA,R202653
ObjectMove,Hand,NA,Unimanual,NA,R202590
StiffStance,Body,NA,NA,NA,R202591
TouchLong,Hand,TorsoFront,NA,NA,R203058
GazeStance,Body,NA,NA,NA,R201918
Grab,Hand,Extremity,Unimanual,NA,R202625
Push,Hand,Extremity,Unimanual,NA,R201714
Touch,Hand,TorsoFront,NA,NA,R202647
Grab,Hand,TorsoBack,Unimanual,NA,R202875
GazeStance,Body,NA,NA,NA,R202574
OverStance,Body,NA,NA,NA,R202961
ChestBeat,Hand,NA,Bimanual,Repeated,R202622
Touch,Hand,TorsoBack,NA,NA,R202872
Embrace,Arm,TorsoBack,Unimanual,NA,R202873
Embrace,Arm,TorsoBack,Unimanual,NA,R203611
StiffStance,Body,NA,NA,NA,R202836
StiffStance,Body,NA,NA,NA,R202837
LocomoteStiffRun,Body,NA,NA,NA,R202839
StiffStance,Body,NA,NA,NA,R202840
PlaceOnObject,Hand,NA,NA,NA,R202838
PlaceOnObject,Hand,NA,NA,NA,R202841
GazeStance,Body,NA,NA,NA,R203431
GazeStance,Body,NA,NA,NA,R203432
GazeStance,Body,NA,NA,NA,R203433
HitRecipientSoft,Knuckles,TorsoBack,Unimanual,Repeated,R202874
LocomoteRecipient,Body,NA,NA,NA,R202515
Pull,Hand,Extremity,Unimanual,NA,R202516
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202580
HitRecipient,Hand,TorsoBack,Unimanual,Singular,R202581
Kiss,Mouth,TorsoBack,NA,NA,R202694
TouchLong,Hand,TorsoBack,NA,NA,R202695
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R201745
Present,Body,NA,NA,NA,R201739
Present,Body,NA,NA,NA,R201740
Present,Back,NA,NA,NA,R201741
Embrace,Arm,TorsoBack,Unimanual,NA,R202548
ObjectMove,Hand,NA,Unimanual,NA,R201721
GrabHold,Hand,TorsoBack,Unimanual,NA,R202529
GrabHold,Hand,TorsoBack,Unimanual,NA,R201934
Grab,Hand,Extremity,Unimanual,NA,R203055
Grab,Hand,Extremity,Unimanual,NA,R203057
Grab,Hand,Extremity,Unimanual,NA,R203056
ObjectMove,Body,NA,NA,NA,R202651
GrabHold,Hand,Extremity,Unimanual,NA,R202974
Reach,Hand,NA,NA,NA,R202960
GazeStance,Body,NA,NA,NA,R203678
HitObject,Hand,NA,Unimanual,Singular,R203679
GazeStance,Body,NA,NA,NA,R203680
GrabHold,Hand,Extremity,Unimanual,NA,R203138
Push,Hand,Head,Unimanual,NA,R202601
ObjectMove,Hand,NA,Unimanual,NA,R203438
ThrowObject,Hand,NA,NA,NA,R203440
HitSelf,Hand,NA,Unclear,Repeated,R203439
Present,Arm,NA,NA,NA,R202848
Present,Leg,NA,NA,NA,R202846
GazeStance,Body,NA,NA,NA,R203672
Push,Arm,Extremity,Unimanual,NA,R202975
Raise,Hand,NA,NA,NA,R202956
PlaceOnObject,Hand,NA,NA,NA,R202957
PlaceOnObject,Knuckles,NA,NA,NA,R202958
LocomoteStiffWalk,Body,NA,NA,NA,R202959
ObjectShake,Hand,NA,Unimanual,Singular,R202963
ObjectMove,Hand,NA,Unimanual,NA,R202964
StiffStance,Body,NA,NA,NA,R202965
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202938
GrabHold,Hand,TorsoBack,Unimanual,NA,R202577
HitRecipient,Hand,Head,Unimanual,Singular,R202867
Touch,Hand,TorsoBack,NA,NA,R201733
Push,Fingers,TorsoBack,Unimanual,NA,R201734
Reach,Arm,NA,NA,NA,R201735
GrabHold,Hand,TorsoBack,Unimanual,NA,R202578
ChestBeatInformal,Fist,NA,Bimanual,Repeated,R202939
LeanIn,BodyChest,TorsoBack,NA,NA,R202966
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202884
LocomoteGallop,Body,NA,NA,NA,R202847
StiffStance,Body,NA,NA,NA,R202520
LocomoteStiffWalk,Body,NA,NA,NA,R202522
Swing,Leg,NA,Unimanual,Singular,R202524
LocomoteStiffWalk,Body,NA,NA,NA,R202525
StiffStance,Body,NA,NA,NA,R202526
Grab,Hand,Extremity,Unimanual,NA,R202527
ObjectMove,Hand,NA,Unimanual,NA,R202521
Embrace,Arm,TorsoBack,Bimanual,NA,R201833
Present,Head,NA,NA,NA,R202941
BiteThreat,Mouth,NA,NA,NA,R202942
ObjectMove,Hand,NA,Unimanual,NA,R202946
LocomoteStiffRun,Body,NA,NA,NA,R202947
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203395
ObjectShake,Hand,NA,Unimanual,Singular,R201838
ObjectMove,Hand,NA,Unimanual,NA,R201839
ObjectMove,Hand,NA,Unimanual,NA,R201841
Jump,Body,NA,NA,NA,R201840
Present,Leg,NA,NA,NA,R202944
Present,Body,NA,NA,NA,R202945
Pull,Hand,Extremity,Unimanual,NA,R201921
Present,Leg,NA,NA,NA,R202943
Present,Back,NA,NA,NA,R202940
ObjectMove,Hand,NA,Unimanual,NA,R203034
Jab,Foot,TorsoFront,NA,NA,R202745
LocomoteGallop,Body,NA,NA,NA,R202766
Fling,Arm,NA,Unimanual,NA,R202767
Present,Leg,NA,NA,NA,R203047
Kiss,Mouth,TorsoBack,NA,NA,R202750
Present,Leg,NA,NA,NA,R202659
HitRecipient,Arm,Head,Unimanual,Singular,R203424
Fling,Arm,NA,Unimanual,NA,R202746
LocomoteStiffRun,Body,NA,NA,NA,R202747
HitObject,Hand,NA,Bimanual,Singular,R203372
ObjectStance,Body,NA,NA,NA,R203373
LocomoteStiffWalk,Body,NA,NA,NA,R203374
StiffStance,Body,NA,NA,NA,R203375
Grab,Hand,Head,Unimanual,NA,R203376
Reach,Hand,NA,NA,NA,R203378
Reach,Hand,NA,NA,NA,R203379
HitObject,Hand,NA,Bimanual,Repeated,R203377
Grab,Hand,Extremity,Unimanual,NA,R202614
Present,Leg,NA,NA,NA,R203027
Grab,Hand,TorsoBack,Unimanual,NA,R202558
ObjectMove,Hand,NA,Unimanual,NA,R202914
Present,Back,NA,NA,NA,R200738
GrabHold,Hand,TorsoBack,Unimanual,NA,R203035
Touch,Fingers,TorsoBack,NA,NA,R202621
GrabHold,Hand,Extremity,Unimanual,NA,R202917
HitRecipient,Arm,TorsoBack,Bimanual,Singular,R202554
HitRecipient,Hand,TorsoBack,Unclear,Repeated,R203009
HitRecipient,Hand,Head,Unimanual,Singular,R203010
LocomoteGallop,Body,NA,NA,NA,R202759
Reach,Hand,NA,NA,NA,R202749
Embrace,Arm,TorsoBack,Unimanual,NA,R203423
TouchLong,Knuckles,Extremity,NA,NA,R203417
Raise,Hand,NA,NA,NA,R202748
Grab,Hand,Extremity,Unimanual,NA,R203380
LeanIn,Body,TorsoFront,NA,NA,R202681
Present,BodyFront,NA,NA,NA,R203028
SpinPirouette,Body,NA,NA,Singular,R202932
HitRecipientSoft,Fingers,TorsoBack,Unimanual,Singular,R202763
Stroke,Fingers,Extremity,Unimanual,NA,R203409
Present,Back,NA,NA,NA,R203410
TouchLong,Hand,TorsoBack,NA,NA,R202565
Push,Foot,TorsoFront,Unimanual,NA,R201779
Push,Foot,TorsoFront,Unimanual,NA,R201780
Push,Foot,TorsoFront,Unimanual,NA,R201781
LocomoteGallop,Body,NA,NA,NA,R202761
Pull,Hand,Extremity,Unimanual,NA,R202762
TouchLong,Hand,TorsoBack,NA,NA,R202768
Pivot,Body,NA,NA,NA,R203322
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203018
Push,Fingers,Extremity,Unimanual,NA,R202739
Push,Hand,TorsoBack,Unimanual,NA,R203411
Present,Back,NA,NA,NA,R202725
GrabHold,Hand,Extremity,Unimanual,NA,R201790
GrabHold,Hand,TorsoBack,Unimanual,NA,R201792
BiteThreat,Mouth,NA,NA,NA,R201791
LeanIn,Body,TorsoBack,NA,NA,R202772
Embrace,Arm,TorsoBack,Unimanual,NA,R202559
GrabHold,Hand,TorsoBack,Unimanual,NA,R202560
Present,Back,NA,NA,NA,R201936
Watersplash,Hand,NA,NA,NA,R202929
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R202930
HitSelf,Hand,NA,Unimanual,Repeated,R202931
HitRecipient,Arm,Extremity,Unimanual,Singular,R202764
HitRecipient,Leg,Extremity,Unimanual,Singular,R202765
Present,Back,NA,NA,NA,R201922
Push,Hand,TorsoBack,Unimanual,NA,R203415
Push,Hand,TorsoBack,Unimanual,NA,R203416
ObjectMove,Hand,NA,Unimanual,NA,R202668
ObjectStance,Body,NA,NA,NA,R202669
HitObject,Arm,NA,Bimanual,Singular,R201757
ChestBeat,Hand,NA,Bimanual,Repeated,R201758
ObjectMove,Hand,NA,Unimanual,NA,R201759
Raise,Foot,NA,NA,NA,R201760
ObjectMove,Hand,NA,Bimanual,NA,R201761
ObjectMove,Hand,NA,Bimanual,NA,R201762
Pivot,Body,NA,NA,NA,R201763
ObjectMove,Hand,NA,Unimanual,NA,R201764
LocomoteGallop,Body,NA,NA,NA,R201765
Pivot,Body,NA,NA,NA,R201766
ObjectStance,Body,NA,NA,NA,R201767
PlaceOnObject,Hand,NA,NA,NA,R201770
Touch,Hand,TorsoBack,NA,NA,R201768
Grab,Hand,TorsoBack,Unimanual,NA,R201769
ObjectMove,Hand,NA,Unimanual,NA,R202718
Present,Leg,NA,NA,NA,R202734
Present,Leg,NA,NA,NA,R202735
ObjectMove,Foot,NA,Unimanual,NA,R202736
HitRecipientSoft,Foot,Extremity,Unimanual,Singular,R202737
Stroke,Foot,Extremity,Unimanual,NA,R202738
Present,BodyFront,NA,NA,NA,R203412
Present,Leg,NA,NA,NA,R203413
HitObject,Foot,NA,Unimanual,Singular,R203414
Pull,Hand,TorsoBack,Unimanual,NA,R201786
Touch,Hand,Extremity,NA,NA,R201787
Push,Hand,Extremity,Unimanual,NA,R201788
Touch,Hand,Extremity,NA,NA,R201789
LayOn,Leg,TorsoBack,NA,NA,R202771
StiffStance,Body,NA,NA,NA,R201825
Reach,Hand,NA,NA,NA,R201826
Raise,Hand,NA,NA,NA,R201827
Reach,Hand,NA,NA,NA,R201828
HitRecipient,Hand,Head,Unimanual,Singular,R201829
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203004
LocomoteStiffWalk,Body,NA,NA,NA,R202677
ObjectMove,Body,NA,NA,NA,R202678
LocomoteStiffWalk,Body,NA,NA,NA,R203383
GrabHold,Hand,Extremity,Unimanual,NA,R203384
GrabHold,Hand,TorsoBack,Unimanual,NA,R202895
SpinPirouette,Body,NA,NA,Singular,R202927
HitRecipient,Hand,TorsoBack,Bimanual,Repeated,R203726
SpinPirouette,Body,NA,NA,Singular,R202723
GrabHold,Hand,Extremity,Unimanual,NA,R201819
Grab,Hand,TorsoBack,Unimanual,NA,R201818
Raise,Arm,NA,NA,NA,R202719
HitSelf,Hand,NA,Unimanual,Singular,R202720
Reach,Hand,NA,NA,NA,R202721
ObjectMove,Hand,NA,Bimanual,NA,R202722
SpinPirouette,Body,NA,NA,Repeated,R202928
Push,Arm,Extremity,Unimanual,NA,R201751
Present,Leg,NA,NA,NA,R201117
TouchLong,Hand,TorsoBack,NA,NA,R203029
HitRecipient,Hand,TorsoFront,Unimanual,Singular,R200007
Present,Genitals,NA,NA,NA,R203392
HitObject,Hand,NA,Bimanual,Singular,R202915
ObjectMove,Hand,NA,Unimanual,NA,R202617
BumpInto,Body,TorsoBack,NA,NA,R202618
ChestBeatInformal,Hand,NA,Bimanual,Repeated,R203005
HitRecipient,Hand,TorsoBack,Bimanual,Repeated,R203006
Embrace,Arm,TorsoBack,Unimanual,NA,R203032
Touch,Hand,TorsoBack,NA,NA,R203033
